w_sla,w_drop,policy,scenario,seed,mean_reward,sla_violation_rate,embb_goodput_mbps,urllc_rtt_p95_ms,guardrail_intervention_rate
0.25,0.0,static_safe,adversarial,100,0.30307359920752563,0.0,2.0,3.2009041157100344,0.0
0.25,0.0,static_safe,adversarial,101,0.30112182824825795,0.0,2.0,3.013786333761693,0.0
0.25,0.0,static_safe,adversarial,102,0.30174077907115293,0.0,2.0,2.9657279839046975,0.0
0.25,0.0,static_safe,burst,100,0.3142077500084346,0.0,1.9702268035342274,2.0,0.0
0.25,0.0,static_safe,burst,101,0.31214131757346136,0.0,1.9833226062358258,2.0,0.0
0.25,0.0,static_safe,burst,102,0.3132875453756044,0.0,1.9830109600958732,2.0,0.0
0.25,0.0,static_safe,ramp,100,0.28705129836742915,0.0,1.84938778204917,2.0,0.0
0.25,0.0,static_safe,ramp,101,0.2892517321738679,0.0,1.8436361776096581,2.0,0.0
0.25,0.0,static_safe,ramp,102,0.28805018147752015,0.0,1.8448302751377692,2.0,0.0
0.25,0.0,static_safe,sawtooth,100,0.3032142265227904,0.0,1.9922297255918575,2.0,0.0
0.25,0.0,static_safe,sawtooth,101,0.3064963108007106,0.0,1.9941276136904849,2.0,0.0
0.25,0.0,static_safe,sawtooth,102,0.30439157184336363,0.0,1.9980622480420578,2.0,0.0
0.25,0.0,static_equal,adversarial,100,0.4380151948804797,0.0,3.395242005285787,5.68241230099818,0.0
0.25,0.0,static_equal,adversarial,101,0.4355900541364694,0.0,3.3909151877580483,5.526508884914903,0.0
0.25,0.0,static_equal,adversarial,102,0.4352977311418427,0.0,3.381531376091246,5.510993157443726,0.0
0.25,0.0,static_equal,burst,100,0.3775373848913541,0.0,2.638148374219868,3.375821129945088,0.0
0.25,0.0,static_equal,burst,101,0.3775096802468299,0.0,2.6683406589690977,3.4143939649152855,0.0
0.25,0.0,static_equal,burst,102,0.3777720270775433,0.0,2.661359340253915,3.3925483282844473,0.0
0.25,0.0,static_equal,ramp,100,0.3948333766664478,0.0,2.9287886320373016,2.526728700100383,0.0
0.25,0.0,static_equal,ramp,101,0.3941825749943233,0.0,2.8975205928722274,2.536807776822698,0.0
0.25,0.0,static_equal,ramp,102,0.39338289264567095,0.0,2.9018801010636865,2.537603211412665,0.0
0.25,0.0,static_equal,sawtooth,100,0.4048063203118402,0.0,3.0121610446016285,3.2987672210325774,0.0
0.25,0.0,static_equal,sawtooth,101,0.405753391021296,0.0,2.9950740655246606,3.289924767956022,0.0
0.25,0.0,static_equal,sawtooth,102,0.40474294810177,0.0,3.008194130571307,3.356470848367056,0.0
0.25,0.0,threshold,adversarial,100,0.5004985761325551,0.03333333333333333,4.8832488991682705,3.8319866141594794,0.040740740740740744
0.25,0.0,threshold,adversarial,101,0.5174992286937281,0.02962962962962963,4.967442341304454,4.624337027824596,0.02962962962962963
0.25,0.0,threshold,adversarial,102,0.5175855493292469,0.02962962962962963,4.957057590422353,3.8162045194398626,0.02962962962962963
0.25,0.0,threshold,burst,100,0.35301942630584887,0.014814814814814815,2.7736888799912043,5.247695647402504,0.037037037037037035
0.25,0.0,threshold,burst,101,0.3515421361234539,0.014814814814814815,2.788924174004335,5.265976613934069,0.037037037037037035
0.25,0.0,threshold,burst,102,0.35410536922304325,0.014814814814814815,2.796853762684271,5.328117909824268,0.044444444444444446
0.25,0.0,threshold,ramp,100,0.4388930619954408,0.0,3.3999737342753846,4.214598528794499,0.037037037037037035
0.25,0.0,threshold,ramp,101,0.4268152919439977,0.003703703703703704,3.3375831689658244,4.198676597750054,0.03333333333333333
0.25,0.0,threshold,ramp,102,0.4364868534471915,0.0,3.3654325221508907,4.1903288488059856,0.02962962962962963
0.25,0.0,threshold,sawtooth,100,0.4100496535011326,0.018518518518518517,3.5135522107160293,5.300167895106024,0.08888888888888889
0.25,0.0,threshold,sawtooth,101,0.4381151461184541,0.007407407407407408,3.542093561839008,5.234362730394207,0.08148148148148149
0.25,0.0,threshold,sawtooth,102,0.41093522568395763,0.018518518518518517,3.5335246483879126,5.409917894466877,0.09259259259259259
0.25,0.0,linucb,adversarial,100,0.45461043088742464,0.03333333333333333,4.327635033052073,5.730927570580117,0.14444444444444443
0.25,0.0,linucb,adversarial,101,0.4670668543295116,0.037037037037037035,4.553282916392268,5.392977919192331,0.15555555555555556
0.25,0.0,linucb,adversarial,102,0.4315761799848792,0.037037037037037035,4.19574484701323,4.994000089300521,0.14814814814814814
0.25,0.0,linucb,burst,100,0.3819470709831374,0.003703703703703704,2.83048129216362,5.259266274260707,0.018518518518518517
0.25,0.0,linucb,burst,101,0.3715775258829902,0.007407407407407408,2.827391812544799,5.256133028821166,0.17777777777777778
0.25,0.0,linucb,burst,102,0.38097051240505575,0.003703703703703704,2.8435777842192844,5.253984732905395,0.037037037037037035
0.25,0.0,linucb,ramp,100,0.4237616713602511,0.003703703703703704,3.3579127825184125,5.557604616656952,0.3962962962962963
0.25,0.0,linucb,ramp,101,0.4248285962321899,0.003703703703703704,3.350340679549477,5.5141651075952725,0.43333333333333335
0.25,0.0,linucb,ramp,102,0.4319643311284529,0.0,3.3542599667388875,5.560315357003787,0.43703703703703706
